Date,Actual,Predicted,sentiment_score,Model,Coin,EnhancedSignal
2025-04-22 00:00:00.000000000,1756.034423828125,1587.81298828125,,ARIMA,STETH-USD,Sell
2025-04-23 00:00:00.000000000,1798.91455078125,1587.81298828125,,ARIMA,STETH-USD,Sell
2025-04-24 00:00:00.000000000,1766.567138671875,1587.81298828125,,ARIMA,STETH-USD,Sell
2025-04-25 00:00:00.000000000,1785.7099609375,1587.81298828125,,ARIMA,STETH-USD,Sell
2025-04-26 00:00:00.000000000,1820.15185546875,1587.81298828125,,ARIMA,STETH-USD,Sell
2025-04-27 00:00:00.000000000,1791.9866943359375,1587.81298828125,,ARIMA,STETH-USD,Sell
2025-04-28 00:00:00.000000000,1798.0526123046875,1587.81298828125,,ARIMA,STETH-USD,Sell
2025-04-29 00:00:00.000000000,1793.546875,1587.81298828125,,ARIMA,STETH-USD,Sell
2025-04-30 00:00:00.000000000,1792.4976806640625,1587.81298828125,,ARIMA,STETH-USD,Sell
2025-05-01 00:00:00.000000000,1838.02490234375,1587.81298828125,,ARIMA,STETH-USD,Sell
2025-05-02 00:00:00.000000000,1840.4903564453125,1587.81298828125,,ARIMA,STETH-USD,Sell
2025-05-03 00:00:00.000000000,1833.35595703125,1587.81298828125,,ARIMA,STETH-USD,Sell
2025-05-04 00:00:00.000000000,1807.314453125,1587.81298828125,,ARIMA,STETH-USD,Sell
2025-05-05 00:00:00.000000000,1818.1815185546875,1587.81298828125,,ARIMA,STETH-USD,Sell
2025-05-06 00:00:00.000000000,1815.1612548828125,1587.81298828125,,ARIMA,STETH-USD,Sell
2025-05-07 00:00:00.000000000,1815.1065673828125,1587.81298828125,,ARIMA,STETH-USD,Sell
2025-05-08 00:00:00.000000000,2204.305908203125,1587.81298828125,,ARIMA,STETH-USD,Sell
2025-05-09 00:00:00.000000000,2343.02587890625,1587.81298828125,,ARIMA,STETH-USD,Sell
2025-05-10 00:00:00.000000000,2585.2119140625,1587.81298828125,,ARIMA,STETH-USD,Sell
2025-05-11 00:00:00.000000000,2506.301025390625,1587.81298828125,,ARIMA,STETH-USD,Sell
2025-05-12 00:00:00.000000000,2490.2138671875,1587.81298828125,,ARIMA,STETH-USD,Sell
2025-05-13 00:00:00.000000000,2680.330322265625,1587.81298828125,,ARIMA,STETH-USD,Sell
2025-05-14 00:00:00.000000000,2607.80029296875,1587.81298828125,,ARIMA,STETH-USD,Sell
2025-05-15 00:00:00.000000000,2538.4365234375,1587.81298828125,,ARIMA,STETH-USD,Sell
2025-05-16 00:00:00.000000000,2542.064697265625,1587.81298828125,,ARIMA,STETH-USD,Sell
2025-05-17 00:00:00.000000000,2472.54296875,1587.81298828125,,ARIMA,STETH-USD,Sell
2025-05-18 00:00:00.000000000,2489.890869140625,1587.81298828125,,ARIMA,STETH-USD,Sell
2025-05-19 00:00:00.000000000,2526.51171875,1587.81298828125,,ARIMA,STETH-USD,Sell
2025-05-20 00:00:00.000000000,2518.09130859375,1587.81298828125,,ARIMA,STETH-USD,Sell
2025-05-21 00:00:00.000000000,2551.167236328125,1587.81298828125,,ARIMA,STETH-USD,Sell
2025-05-22 00:00:00.000000000,2657.6962890625,1587.81298828125,,ARIMA,STETH-USD,Sell
2025-05-23 00:00:00.000000000,2517.80810546875,1587.81298828125,,ARIMA,STETH-USD,Sell
2025-05-24 00:00:00.000000000,2527.821044921875,1587.81298828125,,ARIMA,STETH-USD,Sell
2025-05-25 00:00:00.000000000,2549.341552734375,1587.81298828125,,ARIMA,STETH-USD,Sell
2025-05-26 00:00:00.000000000,2558.304931640625,1587.81298828125,,ARIMA,STETH-USD,Sell
2025-05-27 00:00:00.000000000,2662.620849609375,1587.81298828125,,ARIMA,STETH-USD,Sell
2025-05-28 00:00:00.000000000,2675.78076171875,1587.81298828125,,ARIMA,STETH-USD,Sell
2025-05-29 00:00:00.000000000,2628.461669921875,1587.81298828125,,ARIMA,STETH-USD,Sell
2025-05-30 00:00:00.000000000,2526.2294921875,1587.81298828125,,ARIMA,STETH-USD,Sell
2025-05-31 00:00:00.000000000,2528.205078125,1587.81298828125,,ARIMA,STETH-USD,Sell
2025-06-01 00:00:00.000000000,2533.2666015625,1587.81298828125,,ARIMA,STETH-USD,Sell
2025-06-02 00:00:00.000000000,2607.92333984375,1587.81298828125,,ARIMA,STETH-USD,Sell
2025-06-03 00:00:00.000000000,2590.1240234375,1587.81298828125,,ARIMA,STETH-USD,Sell
2025-06-04 00:00:00.000000000,2608.58837890625,1587.81298828125,,ARIMA,STETH-USD,Sell
2025-06-05 00:00:00.000000000,2418.300048828125,1587.81298828125,,ARIMA,STETH-USD,Sell
2025-06-06 00:00:00.000000000,2477.1279296875,1587.81298828125,,ARIMA,STETH-USD,Sell
2025-06-07 00:00:00.000000000,2521.41845703125,1587.81298828125,,ARIMA,STETH-USD,Sell
2025-06-08 00:00:00.000000000,2508.540771484375,1587.81298828125,,ARIMA,STETH-USD,Sell
2025-06-09 00:00:00.000000000,2678.247802734375,1587.81298828125,,ARIMA,STETH-USD,Sell
2025-06-10 00:00:00.000000000,2807.717529296875,1587.81298828125,,ARIMA,STETH-USD,Sell
2025-06-11 00:00:00.000000000,2775.148193359375,1587.81298828125,,ARIMA,STETH-USD,Sell
2025-06-12 00:00:00.000000000,2650.49560546875,1587.81298828125,,ARIMA,STETH-USD,Sell
2025-06-13 00:00:00.000000000,2577.36962890625,1587.81298828125,,ARIMA,STETH-USD,Sell
